Scheme           mu   n  i VM             |     Commit       Open     Prover |     Verify      Proof       Comm     CV |             Time
dmKZG-PCS        22  16 10 e2-highmem-2   |      2.74s      2.78s      5.51s |     15.6ms     0.70KB    39.38KB     3% | 2026-02-01 03:34
dmKZG-PCS        23  16 10 e2-highmem-2   |      5.51s      5.50s     11.00s |     15.8ms     0.73KB    41.25KB     2% | 2026-02-01 03:17
dmKZG-PCS        24  16  7 e2-highmem-2   |     10.84s     11.09s     21.93s |     16.9ms     0.76KB    43.12KB     2% | 2026-02-01 04:50
dmKZG-PCS        27  16  1 fitted         |     87.14s     88.19s    175.32s |          -          -          -      - | 2026-02-01 06:20
dmKZG-PCS        28  16  1 fitted         |    174.29s    176.33s    350.62s |          -          -          -      - | 2026-02-01 06:20
dmKZG-PCS        29  16  1 fitted         |    348.60s    352.62s    701.21s |          -          -          -      - | 2026-02-01 06:20
dmKZG-PCS        30  16  1 fitted         |    697.21s    705.19s   1402.40s |          -          -          -      - | 2026-02-01 06:20
dPIP-FRI-PCS     24   4 10 e2-highmem-8   |      2.79s    543.3ms      3.33s |      5.7ms   328.11KB   194.27MB     3% | 2026-02-02 22:09
dPIP-FRI-PCS     25   4 10 e2-highmem-8   |      5.85s      1.05s      6.91s |      6.3ms   373.61KB   388.30MB     3% | 2026-02-02 22:11
dPIP-FRI-PCS     26   4 10 e2-highmem-8   |     12.54s      2.07s     14.62s |      6.9ms   419.05KB   776.33MB     3% | 2026-02-02 22:14
dPIP-FRI-PCS     27   4 10 e2-highmem-8   |     27.46s      4.14s     31.60s |      7.7ms   460.20KB  1552.38MB     3% | 2026-02-02 22:19
dPIP-FRI-PCS     28   4 10 e2-highmem-8   |     64.24s      8.31s     72.55s |      8.6ms   505.42KB  3104.41MB     6% | 2026-02-02 22:32
dPIP-FRI-PCS     25   8  5 e2-highmem-4   |      3.25s    585.6ms      3.84s |      6.4ms   381.17KB   226.36MB     5% | 2026-02-01 22:46
dPIP-FRI-PCS     26   8  5 e2-highmem-4   |      7.02s      1.12s      8.14s |      6.9ms   416.58KB   452.39MB     3% | 2026-02-01 22:47
dPIP-FRI-PCS     27   8  5 e2-highmem-4   |     14.73s      2.15s     16.88s |      7.7ms   452.80KB   904.43MB     4% | 2026-02-01 22:49
dPIP-FRI-PCS     28   8  5 e2-highmem-4   |     31.85s      4.25s     36.10s |      8.4ms   504.92KB  1808.48MB     2% | 2026-02-01 22:52
dPIP-FRI-PCS     29   8  5 e2-highmem-4   |     71.12s      8.49s     79.60s |      9.2ms   559.17KB  3616.53MB     6% | 2026-02-01 23:00
dPIP-FRI-PCS     25  16  5 e2-highmem-2   |      1.74s    335.6ms      2.07s |      5.8ms   372.20KB   121.40MB     9% | 2026-02-01 07:17
dPIP-FRI-PCS     26  16  5 e2-highmem-2   |      3.70s    611.1ms      4.31s |      6.3ms   412.73KB   242.45MB     9% | 2026-02-01 07:18
dPIP-FRI-PCS     27  16  5 e2-highmem-2   |      7.96s      1.14s      9.11s |      6.8ms   452.77KB   484.48MB     5% | 2026-02-01 07:27
dPIP-FRI-PCS     28  16  5 e2-highmem-2   |     18.35s      2.21s     20.56s |      7.5ms   502.33KB   968.54MB     6% | 2026-02-01 07:37
dSumcheck3       26   4 10 e2-highmem-4   |          -          -      9.57s |      0.0ms     2.25KB     7.86KB     5% | 2026-02-02 12:06
dSumcheck3       27   4 10 e2-highmem-4   |          -          -     18.71s |      0.0ms     2.34KB     8.18KB     3% | 2026-02-02 14:54
dSumcheck3       28   4 10 e2-highmem-4   |          -          -     37.74s |      0.0ms     2.42KB     8.50KB     4% | 2026-02-02 13:07
dSumcheck3       29   4 10 e2-highmem-4   |          -          -     76.64s |      0.0ms     2.51KB     8.82KB     3% | 2026-02-02 15:08
dSumcheck3       26   8 10 e2-highmem-4   |          -          -      6.46s |      0.0ms     2.25KB    17.32KB   17%~ | 2026-02-02 03:58
dSumcheck3       27   8 10 e2-highmem-4   |          -          -      9.28s |      0.0ms     2.34KB    18.05KB     3% | 2026-02-02 04:00
dSumcheck3       28   8 10 e2-highmem-4   |          -          -     18.90s |      0.0ms     2.42KB    18.79KB     5% | 2026-02-02 04:04
dSumcheck3       29   8 10 e2-highmem-4   |          -          -     41.10s |      0.0ms     2.51KB    19.52KB   19%~ | 2026-02-02 04:12
dSumcheck3       30   8 10 e2-highmem-4   |          -          -     83.23s |      0.0ms     2.59KB    20.25KB   16%~ | 2026-02-02 04:27
dSumcheck3       26  16  5 e2-standard-2  |          -          -      2.36s |      0.0ms     2.25KB    35.31KB     1% | 2026-01-29 08:13
dSumcheck3       27  16  5 e2-highmem-2   |          -          -      4.72s |      0.0ms     2.34KB    36.88KB     3% | 2026-02-01 06:43
dSumcheck3       28  16  5 e2-standard-2  |          -          -      9.34s |      0.0ms     2.42KB    38.44KB     1% | 2026-01-29 08:15
dSumcheck3       29  16  5 e2-standard-2  |          -          -     18.75s |      0.0ms     2.51KB    40.00KB     1% | 2026-01-29 08:17
